Palavra Chave;Bundle Id;Nome do aplicativo;Número de avaliações;Número de estrelas;Número de instalações;Tamanho do aplicativo;Versão do android exigida
programming;com.codepoint.learnjava;Learn Java Programming OFFLINE -  Java Tutorials;11;4.2;1,000+;4.1M;4.4 and up
programming;com.duy.pascal.compiler;Pascal N-IDE - Editor And Compiler - Programming;10732;4.7;500,000+;6.0M;4.0 and up
programming;com.quizmine.webprogram;Learn Web Programming;18;3.0;1,000+;20M;4.0.3 and up
programming;com.wandcode.cheatsheet;Code Cheat Sheets - Programming References;19;3.9;1,000+;4.6M;4.1 and up
programming;app.oopcodeskyhive;Object Oriented Programming;72;4.1;10,000+;3.3M;4.0.3 and up
programming;c.spotapps.com.learnc;Learn C Programming Language;13;4.9;100+;677k;4.4 and up
programming;com.prodevs.apps.javaprogrammingguide;Guide for Java Programming;9;4.1;1,000+;3.4M;4.0.3 and up
programming;com.apkzube.learncpp;Learn C++ Programming - Tutorial;77;4.5;10,000+;4.6M;4.4 and up
programming;com.app4daily.computerrepairingcourse;Learn Computer Programming;13;4.3;5,000+;2.3M;4.4 and up
programming;com.theeasylearn.java;Learn Java Programming Language;75;4.6;10,000+;2.6M;4.2 and up
programming;com.spdroid.c;C Programming - Learn Code, Theory & Discuss;3298;4.5;100,000+;5.5M;4.3 and up
programming;com.thunkable.android.techword4u.Basic_C_Programming;Basic C Programming;16;4.6;1,000+;5.1M;4.1 and up
programming;com.appsfacto.hundred_one_c_problems;101 C Programming Problems;530;4.5;50,000+;5.8M;4.0.3 and up
programming;com.pkj.learncprogramming;Learn C Programming;41;4.6;1,000+;2.4M;4.0 and up
programming;com.faadooengineers.free_cprogramming;Basics of C Programming;279;3.9;50,000+;4.2M;4.0 and up
programming;com.hyphenible.tryc;Learn C Programming: Offline with examples;24;4.6;1,000+;3.0M;4.4 and up
programming;com.progforb.pfb;Programming for Beginners;6;5.0;100+;1.6M;4.0.3 and up
programming;learn.apps.rprogramming;Learn R Programming;undefined;undefined;1,000+;4.3M;4.0.3 and up
programming;com.codetoinvent.malik.cplusplus;Learn C++ Programming - Tutorial;70;4.7;5,000+;8.1M;4.4 and up
programming;engg.hub.object.oriented.programming;Object Oriented Programming;47;3.4;5,000+;4.7M;4.1 and up
programming;com.quantumappsolutions.learnswift;Learn Swift (IOS) Programming Video Lectures;undefined;undefined;100+;6.3M;4.0.3 and up
programming;com.creativeworld.android.learnjavaprogramming;Java Hero: Learn Java Programming;undefined;undefined;500+;5.5M;4.4 and up
programming;com.codepoint.learnjavascript;Learn JavaScript Programming - JavaScript Tutorial;37;4.4;5,000+;3.5M;4.4 and up
programming;com.coderbro.tutorial.a8051microcontroller;8051 Microcontroller Programming;17;4.3;5,000+;4.3M;4.4 and up
programming;c.programming;C Programming;26809;4.2;1,000,000+;1.8M;2.3 and up
