Bundle Id;Número de estrelas do comentário;Texto do comentário;Id do comentário;Data do comentário;Numero de estrelas do aplicativo
pe.diegoveloper.pseudocode;5;pratico!;gp:AOqpTOFSCHWt6MuCApBZfxrSNcSO4IuAUgGmrKWU8SB8F-KFlr2kVqsiR-Vf2-wiht5b_Wu9r9lcGXdcXPXsjMw;2019-08-01T00:52:14.263Z;4.4
pe.diegoveloper.pseudocode;5;Good starting;gp:AOqpTOFCZHC5Ka7YNoiUS_PDstfXPkvZhi-myHz1gZhVsM-zQv0jNjpFaWKsK69t4H34uk6VSauWVdkqrXab9zo;2019-07-24T17:07:07.101Z;4.4
pe.diegoveloper.pseudocode;5;looks good;gp:AOqpTOG1W2taGg1dSQw1k-zyJm82Kuzui2D2vzjtzCACES0bnbpHTopbnXoboffDZprqizUYgNw80YrbXHshCZ8;2019-06-15T22:20:57.192Z;4.4
pe.diegoveloper.pseudocode;5;good for practice;gp:AOqpTOGq-0TH9MXsAkG3EupFC28JGG93Ay4nNTraJ3tAF0BYek8XoSRv746h0WL7cKhWD7yZdXnGXo4G8oJy9Pc;2019-05-23T02:08:23.489Z;4.4
pe.diegoveloper.pseudocode;5;Fine;gp:AOqpTOFfyh0oGAQgs41vXN90zO0P3lALbWL7JmHAhTs6zZWzOCfx26Hm7T5JEodviwMhcyxP7vgawN2v-xsesek;2019-04-24T02:21:18.424Z;4.4
pe.diegoveloper.pseudocode;5;Es muy buena y me ayuda a estudiar y programar desde mi movil Android;gp:AOqpTOESOOZH2HN0yHOU4SBZN12VyMsieKaaxXJDlf2O951iIiPyfkcwIFv08cRpNIbHc28HvvKrDzKZZ_v9a5w;2019-04-17T19:58:45.218Z;4.4
pe.diegoveloper.pseudocode;1;No funcional.;gp:AOqpTOFeeU4Eeqotkw9u4tlr-DtpDaWMz_ukeX7vp15lvIwPpM0EohprH0Bgu2zcO3jNbeZijiZZKU-HXTUVHJM;2019-04-15T18:09:51.329Z;4.4
pe.diegoveloper.pseudocode;5;Muy buena para empezar con el mundo de la programación.;gp:AOqpTOGyFIeXoHocPHnbsdLmy_HB-pbt9Z2ndmf2OXiks4XlBzddI0gWHJUb5anN2E2ALoG3gjCPTSnrWzHh3U8;2019-04-06T18:35:25.294Z;4.4
pe.diegoveloper.pseudocode;5;Excellent!;gp:AOqpTOF897uIRMCdfemJlB_gCLYKiVO7Ie8bRK5LLJbKwwrzrwgTWxi0aCXI63evh06Zgvi9nFDdl_moESqyHUM;2019-04-06T17:26:40.524Z;4.4
pe.diegoveloper.pseudocode;5;great;gp:AOqpTOGgLr0T9s7bX55SqiR8GRLwpi2OzPmmxOLzWjJ219cC4Sr5SIa6cLUeuFSiJiGZeX23hNQBS6Rk7x3CrYA;2019-04-05T11:21:12.327Z;4.4
pe.diegoveloper.pseudocode;5;tem uma linguagem um pouco diferente da usada no programa de dekstop, mas ainda sim é bem útil e fiel ao programa.;gp:AOqpTOEgffVB914-Vpa93fSCDphrZwyhTYosFxZZEhrYK6ZMIeoss_nHtlCMUJrsVzl8qRXBKPvIqYVP_eaG7rA;2019-04-04T21:11:55.601Z;4.4
pe.diegoveloper.pseudocode;5;Very good;gp:AOqpTOH84ukK7aTHSCwrKiI3SopXlCIC4b167n2KVaFw2QEbW_LZEDY28zBIuKnN0qY0UU4QPHxklMUEjiWB8zM;2019-03-12T19:16:47.395Z;4.4
