Palavra_Chave;Bundle_Id;Nome_do_aplicativo;Numero_de_avaliacoes;Numero_de_estrelas;Numero_de_instalacoes;Tamanho do aplicativo;Versao_do_android_exigida;Numero_de_comentarios;Avaliacoes_sem_comentario
learn programming;com.sololearn;SoloLearn: Learn to Code for Free;403220;4.8;5,000,000+;10M;4.0.3 and up;169375;233845
learn programming;com.best.don.programmingbooks;Programming eBooks: All Free Coding Books;424;4.2;10,000+;4.1M;5.0 and up;225;199
learn programming;nabilsoft.com.learnwebdevelopment;Learn Programming (Web Development);7;5.0;1,000+;3.8M;4.1 and up;3;4
learn programming;com.codetoinvent.malik.cprogramming;Learn C Programming;39;4.6;1,000+;7.8M;4.4 and up;21;18
learn programming;com.gokazu;CodePal: Learn programming;46;4.8;1,000+;5.1M;5.0 and up;34;12
learn programming;com.appsfactory.learnpython;Learn Python  Programming Free - Python Offline;931;4.6;50,000+;15M;4.4 and up;471;460
learn programming;com.educationapps.visualbasicnet;Visual Basic NET Tutorial - VB .NET Examples;48;4.0;10,000+;4.1M;4.4 and up;24;24
learn programming;com.paprbit.dcoder;Dcoder, Compiler IDE :Code & Programming on mobile;18281;4.4;1,000,000+;6.5M;4.0.3 and up;8350;9931
learn programming;in.softecks.programmingbasics;Programming Basics;undefined;undefined;1,000+;10M;4.4 and up;undefined;NaN
learn programming;com.learnacademic.functional_programming;Learn Functional Programming Full;undefined;undefined;500+;8.6M;4.0 and up;undefined;NaN
learn programming;app.compiler;Online Compiler (Beta);10023;4.4;100,000+;2.6M;4.1 and up;4535;5488
learn programming;com.rpms.rohitpatil.learnjava;Learning Java;147;4.6;10,000+;27M;4.4 and up;99;48
learn programming;com.app1daily.a1db304;Learn Swift Programming - Develop iPhone, iPad App;7;3.6;1,000+;1.7M;4.1 and up;4;3
learn programming;com.quadosoft.ethicalhacking;Learn Programming & Cyber Security - ProSecify;undefined;undefined;1,000+;4.5M;5.0 and up;undefined;NaN
learn programming;in.learncodeonline.lco;Learn Code Online;2142;4.3;50,000+;Varies with device;4.4 and up;813;1329
learn programming;com.knightcoder.programmingebooks;Coding eBooks : All Free Programming Books at Once;1114;4.3;100,000+;6.5M;4.3 and up;534;580
learn programming;sgdevelopers.learn_c_programming;Learn C Programming;145;4.4;10,000+;5.8M;4.0.3 and up;59;86
learn programming;com.learnswiftprogramming;Learn Swift Programming - iOS;62;4.5;5,000+;3.5M;5.0 and up;23;39
learn programming;com.jaindev.assembly;Learn Assembly Language Complete Guide (OFFLINE);29;4.0;10,000+;8.0M;4.1 and up;8;21
learn programming;free.programming.programming;Learn DS & Algo, Programming Interview Preparation;8600;4.6;500,000+;4.5M;5.1 and up;1893;6707
learn programming;com.easy.hp.cpptutorial;C++ Programming App;555;4.6;10,000+;5.6M;5.0 and up;294;261
learn programming;com.codepoint.learnjavascript;Learn JavaScript Programming - JavaScript Tutorial;56;4.3;5,000+;3.5M;4.4 and up;33;23
learn programming;learn.apps.arduinoprogramming;Learn Arduino Programming;112;4.4;50,000+;7.9M;4.0.3 and up;44;68
learn programming;com.codepoint.learnrprogramming;Learn R Programming Free - R Programming Tutorials;16;4.3;5,000+;5.0M;4.4 and up;10;6
learn programming;gudev.learn.phpprogrammingcoding;Learn PHP Programming Coding;38;4.3;10,000+;12M;4.0.3 and up;15;23
learn programming;com.skycodetech.codingquiz;Coding Quiz (programming);234;4.5;10,000+;4.3M;4.4 and up;111;123
learn programming;com.redlee90.learn6502assembly;Learn 6502 Assembly;232;4.5;10,000+;2.5M;4.1 and up;111;121
