Palavra_Chave;Bundle_Id;Nome_do_aplicativo;Numero_de_avaliacoes;Numero_de_estrelas;Numero_de_instalacoes;Tamanho do aplicativo;Versao_do_android_exigida;Numero_de_comentarios;Avaliacoes_sem_comentario
programação;com.freeit.java;Programming Hub: Learn to Code;84107;4.6;1,000,000+;Varies with device;Varies with device;27568;56539
programação;com.duhnnae.programmingprogramacion;Programming - Learning - Tutorials;54;4.4;10,000+;7.1M;4.1 and up;37;17
programação;tursky.jan.nauc.sa.html5;Learn programming;12829;3.8;1,000,000+;6.8M;4.0.3 and up;2832;9997
programação;com.sololearn.php;Learn PHP;16122;4.5;1,000,000+;6.2M;4.0.3 and up;5500;10622
programação;com.paprbit.dcoder;Dcoder, Compiler IDE :Code & Programming on mobile;18281;4.4;1,000,000+;6.5M;4.0.3 and up;8350;9931
programação;com.do_apps.catalog_68;Programming languages;1342;4.1;100,000+;40M;4.4 and up;295;1047
programação;com.getmimo;Mimo: Learn to Code;84782;4.5;1,000,000+;16M;5.0 and up;34622;50160
programação;app.compiler;Online Compiler (Beta);10025;4.4;100,000+;2.6M;4.1 and up;4536;5489
programação;com.sololearn.cplusplus;Learn C++;72517;4.7;1,000,000+;6.2M;4.0.3 and up;22509;50008
programação;org.qpython.qpy3;QPython3 - Python3 for Android;5173;4.1;1,000,000+;22M;2.3 and up;2306;2867
programação;com.papumba.android.learnenglish;English for Kids;3883;4.2;500,000+;36M;4.0.3 and up;1425;2458
programação;com.sololearn;SoloLearn: Learn to Code for Free;379158;4.8;5,000,000+;10M;4.0.3 and up;159236;219922
programação;org.jw.jwlanguage;JW Language;89332;4.9;1,000,000+;25M;4.1 and up;27573;61759
programação;free.programming.programming;Learn DS & Algo, Programming Interview Preparation;8121;4.6;500,000+;4.5M;5.1 and up;1789;6332
programação;org.catrobat.catroid;Pocket Code: Learn programming your own game apps!;11044;3.9;500,000+;23M;5.0 and up;5398;5646
programação;com.codenza.dp.programs;Codenza;1897;4.6;100,000+;10M;4.2 and up;742;1155
programação;com.repair.learn.programming.android;Learn Programming For Android;56;3.3;10,000+;1.8M;2.3.3 and up;29;27
programação;com.practice_o_learn.javaprogramming;Learn Java Programming;80;4.5;10,000+;3.0M;4.0 and up;53;27
programação;com.qtechbd.tutorial.python;Python Tutorial;33;4.4;10,000+;2.1M;4.0.3 and up;18;15
programação;prueba.joseluismerlosguzman.prueba;Convertidor de algoritmo a código;7;3.3;1,000+;1.6M;4.1 and up;3;4
programação;com.ozensoft.arduinoplcladdersim;Arduino PLC - Ladder Simulator;254;4.1;100,000+;2.8M;4.1 and up;118;136
programação;name.antonsmirnov.android.cppdroid;CppDroid - C/C++ IDE;30266;4.1;1,000,000+;46M;4.4W and up;7749;22517
programação;com.do_apps.catalog_285;Algorithms;374;4.0;50,000+;25M;4.4 and up;94;280
programação;com.do_apps.catalog_485;Object-oriented programming;52;3.6;10,000+;10M;4.4 and up;17;35
programação;com.codenza.dp.programs;Codenza;1897;4.6;100,000+;10M;4.2 and up;742;1155
programação;oop.cite.pc_admin.trial_3navbar;OOP for Beginners;16;4.2;5,000+;8.1M;4.1 and up;10;6
programação;coolfreeapps.appslaborator.learn.c.programming;C/C++ programming;36;4.0;10,000+;1.8M;2.3.3 and up;13;23
programação;com.classic.vast.com.learningcpp;Learn C++;11;4.5;5,000+;4.1M;4.0.3 and up;5;6
programação;com.buta.caculator;HiEdu Scientific Calculator : Fx-570vn Plus;31930;4.6;1,000,000+;6.1M;4.0.3 and up;16224;15706
programação;robotic.industrial;Industrial Robotics 3D;1117;4.4;100,000+;14M;4.2 and up;359;758
programação;aplus.cursosalgotmico;CURSO ALGORÍTMICO;undefined;undefined;1,000+;3.7M;4.0.3 and up;undefined;NaN
programação;com.appsenrique.pnlconpoder;PNL con Poder;228;4.6;10,000+;13M;4.0.3 and up;177;51
programação;com.repair.learn.programming.android;Learn Programming For Android;56;3.3;10,000+;1.8M;2.3.3 and up;29;27
programação;com.educationapps.cncprogrammingexamples;CNC Programming Example;170;4.4;10,000+;7.5M;4.4 and up;90;80
programação;com.lpalominos.horariodeclases;Class Schedule;891;4.1;50,000+;6.4M;4.3 and up;352;539
programação;itools.cprograms;C Programming (1000+ programs & 250+ Patterns);544;3.4;50,000+;12M;4.1 and up;261;283
programação;com.dexterousdevelopers.cprogrammingtutorials;C Programming Tutorials;68;4.8;10,000+;3.9M;4.0.3 and up;48;20
programação;com.codepoint.computerProgramming;Learn Basic Computer Programming Free OFFLINE;22;4.5;10,000+;5.9M;4.4 and up;13;9
programação;com.duy.pascal.compiler;Pascal N-IDE - Editor And Compiler - Programming;11322;4.7;500,000+;6.0M;4.0 and up;4731;6591
programação;my.book.ua.AOUVWFQPJIIAFRHOFO;Manipulation and control;415;3.5;100,000+;5.5M;4.1 and up;57;358
programação;aplus.cursosalgotmico;CURSO ALGORÍTMICO;undefined;undefined;1,000+;3.7M;4.0.3 and up;undefined;NaN
programação;coolfreeapps.appslaborator.web.development.course;Web development course;40;3.9;5,000+;1.8M;2.3.3 and up;26;14
programação;com.sololearn.sql;Learn SQL;19440;4.6;1,000,000+;6.2M;4.0.3 and up;6084;13356
programação;com.sololearn.java;Learn Java;55379;4.6;1,000,000+;6.2M;4.0.3 and up;18333;37046
