Palavra_Chave;Bundle_Id;Nome_do_aplicativo;Numero_de_avaliacoes;Numero_de_estrelas;Numero_de_instalacoes;Tamanho do aplicativo;Versao_do_android_exigida;Numero_de_comentarios;Avaliacoes_sem_comentario
programming;com.freeit.java;Programming Hub: Learn to Code;89545;4.6;1,000,000+;Varies with device;Varies with device;29404;60141
programming;com.sololearn;SoloLearn: Learn to Code for Free;379158;4.8;5,000,000+;10M;4.0.3 and up;159236;219922
programming;com.learnprogramming.codecamp;Programming Hero: Coding Just Got Fun (beta);5493;4.9;100,000+;17M;4.1 and up;2966;2527
programming;org.scratchjr.android;ScratchJr;6823;3.8;1,000,000+;25M;4.2 and up;3274;3549
programming;com.sizzlesoftlabs.learn.expertc;Expert C Programming - Learn C Coding Easily;90;4.3;10,000+;7.3M;5.0 and up;53;37
programming;in.softecks.ruby;Ruby Programming;10;4.5;1,000+;7.4M;4.4 and up;5;5
programming;com.sitseducators.cpatternprogramsfree;C Pattern Programs Free;6302;4.7;100,000+;7.5M;4.0 and up;2299;4003
programming;com.pkj.learnpython;Learn Python Programming;33;4.0;10,000+;Varies with device;3.0 and up;23;10
programming;com.sitseducators.javapatternprogramsfree;Java Pattern Programs Free;3954;4.5;100,000+;8.1M;4.0 and up;1641;2313
programming;com.coderbro.tutorial.a8051microcontroller;8051 Microcontroller Programming;17;4.3;5,000+;4.3M;4.4 and up;7;10
programming;com.jids.lspexample;Linux System Programming Eg;181;4.5;10,000+;1.9M;2.2 and up;46;135
programming;coding.riya_rayan.ccoding;Learn C Coding;92;4.7;10,000+;24M;4.0.3 and up;50;42
programming;com.antlem.coderhub;CoderHub-Learn Coding Free;34;4.6;1,000+;3.0M;4.3 and up;16;18
programming;com.samsung.android.codemaker;HANDY CODE - Coding education, Programming;106;3.9;5,000+;34M;4.4 and up;78;28
programming;com.CodeHub.competitivecoding;CodeHub - First Competitive Programming App;37;4.4;1,000+;2.9M;4.0.3 and up;23;14
programming;com.awwalsoft.javawebprogramming;Jsp & Servlet Tutorial:  Java Web Programming;160;4.4;10,000+;5.1M;5.0 and up;82;78
programming;com.creativeworld.android.geeks_code;Geeks Code: All Programming Books in one place;54;4.0;1,000+;7.5M;4.4 and up;39;15
programming;com.coderbro.tutorial.arduinoprogrammingduo;Arduino Programming;136;4.0;50,000+;9.7M;4.4 and up;40;96
programming;com.cprogrammingzone.free;C Programming Zone;1279;4.6;50,000+;4.0M;4.0.3 and up;542;737
programming;learn.c.programing;Learn C Programming;179;4.5;10,000+;3.6M;4.0.3 and up;69;110
programming;org.edx.mobile;edX: Online Courses by Harvard, MIT, Berkeley, IBM;51136;4.7;1,000,000+;14M;4.4 and up;16245;34891
programming;nabilsoft.com.learnwebdevelopment;Learn Programming (Web Development);7;5.0;1,000+;3.8M;4.1 and up;3;4
programming;io.kodular.rijukeyshonsrijan.dp;Dynamic Programming Problems - Competitive Coding;6;4.3;500+;5.8M;4.1 and up;4;2
programming;com.codebuff;Code Buff : Programmer's calendar, Coding contests;14;4.8;1,000+;1.8M;4.4 and up;10;4
programming;com.japangor.learnjava;Learn To Code (JAVA);191;4.1;50,000+;5.9M;4.1 and up;76;115
programming;com.sitseducators.cpppatternprogramsfree;C++ Pattern Programs Free;3373;4.7;100,000+;7.4M;4.0 and up;1059;2314
programming;com.coderii.imagetotext;Programmer Assistant;13;5.0;100+;62M;4.0.3 and up;10;3
programming;com.codingpreperation.csinterviewpreperation.programming;CS & IT Interview Questions;132;4.5;10,000+;4.2M;4.2 and up;54;78
programming;com.codepoint.learnjava;Learn Java Programming OFFLINE -  Java Tutorials;14;4.1;5,000+;4.1M;4.4 and up;11;3
programming;com.tech.prabhansh.programminginc;Programming in C;69;4.7;1,000+;4.1M;4.0 and up;31;38
programming;com.krazeapps.cppprogrammingcompiler;C/C++ Programming Compiler;26;2.8;10,000+;6.5M;4.4 and up;16;10
programming;com.app.cprogramingapp;Easy C Programming;31;4.4;1,000+;3.1M;4.0.3 and up;16;15
programming;com.faadooengineers.free_cprogramming;Basics of C Programming;285;3.9;50,000+;4.2M;4.0 and up;65;220
programming;net.andromo.dev653868.app655379;Matlab Programming : Numerical Analysis;32;4.6;5,000+;6.2M;4.1 and up;14;18
programming;com.quantumappsolutions.learnprogramming;Learn Computer Programming;21;4.4;5,000+;7.2M;4.0.3 and up;17;4
programming;cpp.programming;C++ Programming;13564;4.2;1,000,000+;1.8M;2.3 and up;3760;9804
programming;in.intelitech.computerprogramming;Computer Programming;6;4.3;5,000+;4.7M;4.0.3 and up;3;3
programming;com.studytonight.app;Studytonight - Free Computer Programming Tutorials;1411;4.6;50,000+;4.5M;5.0 and up;630;781
programming;in.intelitech.lispprogramming;LISP Programming;5;3.4;1,000+;3.5M;4.0.3 and up;3;2
programming;wscubetech.android;Learn Android Programming-App Development Tutorial;6;4.0;1,000+;8.0M;4.0.3 and up;2;4
programming;com.aniketo.ds;Learn Programming C, C++ , Java, PHP;22;4.9;1,000+;4.5M;4.0 and up;12;10
programming;org.coursera.android;Coursera: Online courses;97543;4.4;5,000,000+;Varies with device;Varies with device;17319;80224
programming;com.myprg.aakash.ardunioprogramming;Arduino Programming;100;4.1;10,000+;4.7M;4.2 and up;40;60
programming;com.avstore.cctutorials;C  C++ Tutorials;24;4.8;5,000+;4.8M;4.4 and up;18;6
programming;com.japangor.python;Learn To Code (PYTHON);72;3.7;10,000+;18M;4.0.3 and up;28;44
programming;com.lego.education.ev3;LEGO® MINDSTORMS Education EV3;536;3.9;50,000+;58M;4.2 and up;226;310
programming;com.W3school.Anbu;W3school;305;4.2;100,000+;78M;1.6 and up;132;173
programming;learn.apps.arduinoprogramming;Learn Arduino Programming;116;4.4;50,000+;7.9M;4.0.3 and up;46;70
programming;com.codepoint.learnrprogramming;Learn R Programming Free - R Programming Tutorials;17;4.4;5,000+;5.0M;4.4 and up;11;6
programming;in.softecks.programmingbasics;Programming Basics;undefined;undefined;1,000+;10M;4.4 and up;undefined;NaN
programming;sgdevelopers.learn_c_programming;Learn C Programming;145;4.4;10,000+;5.8M;4.0.3 and up;59;86
programming;com.sololearn.cplusplus;Learn C++;72517;4.7;1,000,000+;6.2M;4.0.3 and up;22509;50008
programming;com.appzap.learncprogramminginhindi;Learn C++ Programming In Hindi;82;4.1;10,000+;37M;4.2 and up;46;36
programming;com.upskew.encode;Encode: Learn to Code;4797;4.6;100,000+;11M;4.4 and up;2015;2782
programming;cplusplus.programming;Learn C++ Programming;7;4.0;1,000+;3.7M;4.0.3 and up;2;5
programming;in.edu.pd;Programmer's Dictionary;1070;3.8;100,000+;1.2M;3.0 and up;247;823
programming;com.appsfacto.hundred_one_c_problems;101 C Programming Problems;503;4.5;100,000+;5.8M;4.0.3 and up;201;302
programming;com.codetoinvent.malik.cprogramming;Learn C Programming;39;4.6;1,000+;7.8M;4.4 and up;21;18
programming;info.ytc.cprograms;Programming Zone;49;4.8;10,000+;19M;4.0.3 and up;23;26
programming;com.knightcoder.programmingebooks;Coding eBooks : All Free Programming Books at Once;1114;4.3;100,000+;6.5M;4.3 and up;534;580
programming;info.cntrlapps.prolearn;LearnProg | Learn Programming Languages;7;3.9;500+;3.4M;4.1 and up;5;2
programming;com.sololearn.java;Learn Java;52025;4.6;1,000,000+;6.2M;4.0.3 and up;17198;34827
programming;com.java.user.javaprogramming;Java Programming Tutorial;60;4.6;10,000+;5.9M;4.0 and up;40;20
programming;com.sololearn.csharp;Learn C#;19612;4.5;1,000,000+;6.2M;4.0.3 and up;6735;12877
programming;com.progforb.pfb;Programming for Beginners;6;5.0;500+;1.6M;4.0.3 and up;5;1
programming;com.dexterousdevelopers.cprogrammingtutorials;C Programming Tutorials;68;4.8;10,000+;3.9M;4.0.3 and up;48;20
programming;com.shashank.sony.cppprogrammingbyshashank;C++ Tutorial & Programming;128;4.3;10,000+;2.4M;5.0 and up;72;56
programming;com.sololearn.python;Learn Python;76325;4.6;1,000,000+;6.2M;4.0.3 and up;25726;50599
programming;com.clanguage.pradip.bitsofcomputer;C Programming Language - All in One;44;4.4;10,000+;9.3M;4.2 and up;22;22
programming;com.ashatechsolutions.cprogramming;C++ Programming : Learn to Code;10;4.6;1,000+;3.2M;4.0 and up;3;7
programming;org.catrobat.catroid;Pocket Code: Learn programming your own game apps!;11044;3.9;500,000+;23M;5.0 and up;5398;5646
programming;in.softecks.cplusplus;C++ Programming;6;4.2;1,000+;7.7M;4.4 and up;3;3
programming;mum.mum.java_test;Programming Test;30;4.5;1,000+;2.1M;2.2 and up;8;22
programming;project.com.clanguage;C Programming Quiz;22;4.3;5,000+;4.5M;4.4 and up;11;11
programming;com.mhasancse15.programminglanguage;Programming languages;22;4.1;5,000+;5.7M;4.3 and up;12;10
programming;com.cprograms4future.allcprograms;All C Programs;4647;4.6;100,000+;7.3M;4.1 and up;1803;2844
programming;com.do_apps.catalog_68;Programming languages;1342;4.1;100,000+;40M;4.4 and up;295;1047
programming;sgdevelopers.learn_cpp_programming;Learn C++ Programming;106;4.5;10,000+;11M;4.0.3 and up;56;50
programming;com.appybuilder.aadi_ben16.CTuit;C Programming Robot - Learn Coding & C Theory;11;4.6;1,000+;13M;4.0 and up;5;6
programming;com.pratipalgif.LearnC;C Programming Notes & Programs;8;3.2;1,000+;6.0M;4.0.3 and up;4;4
programming;com.wITandProgrammingandComputerScienceFreeBooks_7782437;IT, Programming & Computer science Free Books;17;4.2;5,000+;89M;4.1 and up;12;5
programming;com.freetymekiyan.apas;Leetcode Algorithm Coding, Java Interview Offline;457;4.7;10,000+;5.6M;4.0.3 and up;155;302
programming;com.casatechno.www.TestYourProgrammingSkills;Test Your Programming Skills;35;4.7;1,000+;3.7M;4.0.3 and up;24;11
programming;gudev.visualbasicvb.net;Learn VB.Net Programming Language;undefined;undefined;1,000+;7.9M;4.0.3 and up;undefined;NaN
programming;com.csmcqs.asif.dsmcqs;Programming Languages MCQs;12;4.5;5,000+;4.4M;4.1 and up;4;8
programming;motivationquotes.daily.com.pdfdownload;Programming Coding eBooks;12;4.2;1,000+;4.7M;4.0.3 and up;10;2
programming;com.adriada.impararec;Learn C++;312;4.5;10,000+;4.6M;5.0 and up;163;149
programming;com.djm.offlinepythonnotes;Learn Python Offline- Tutorial and Interpreter;812;4.4;50,000+;4.2M;4.1 and up;355;457
programming;infiniteloopsinc.info.completejava;Learn Java Programming;755;4.6;50,000+;3.9M;4.0.3 and up;226;529
programming;com.codepoint.learnkotlin;Learn Kotlin Programming Free - Kotlin Tutorials;15;4.0;1,000+;2.4M;4.4 and up;7;8
programming;com.alansa.ideabag2;Programming Ideas 2;558;4.7;100,000+;3.9M;4.4 and up;184;374
programming;com.codepoint.learndart;Learn Dart Programming Free - Dart Tutorials;24;4.3;5,000+;4.8M;4.4 and up;13;11
programming;com.theeasylearn.java;Learn Java Programming Language;75;4.5;10,000+;2.6M;4.2 and up;49;26
programming;cc.taimoor.rubycourse;Ruby Course: Learn to code, programming free💎 💪;22;5.0;500+;16M;5.0 and up;14;8
programming;com.apkzube.learnpython;Learn Python Programming - Offline Tutorial;457;4.6;100,000+;5.8M;4.4 and up;203;254
programming;com.myapps.rishabhrawat.codingebooks;Coding EBooks:Programming, Web, Networking, Mobile;15;3.9;1,000+;24M;4.3 and up;10;5
programming;com.sortedqueue.programmercreek;Practice Code : Learn Programming;114;4.4;10,000+;7.5M;5.0 and up;48;66
programming;com.pkj.learncprogramming;Learn C Programming;42;4.6;1,000+;2.4M;4.0 and up;33;9
programming;com.velosys.interview_preparation;Programming MCQ;314;3.8;50,000+;1.8M;2.1 and up;41;273
programming;com.codebrink.codebrink;C++ & Python 3 Programming Tutorials for Beginners;13;4.9;100+;5.8M;4.1 and up;5;8
programming;com.bnb.javaprogramming;Java Programming - Learn Coding;8;4.1;1,000+;Varies with device;Varies with device;7;1
programming;com.spdroid.c;C Programming - Learn Code, Theory & Discuss;3201;4.5;100,000+;5.5M;4.3 and up;1512;1689
