bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo;numero de estrelas
ab.codelyf;94;8;11;113;0.9215686274509803;undefined
com.ionicframework.cursosdegraca;65;3;15;83;0.9558823529411765;undefined
com.sololearn.csstrial;164;8;28;200;0.9534883720930233;undefined
com.codenza.dp.programs;147;18;35;200;0.8909090909090909;undefined
in.edu.pd;151;13;36;200;0.9207317073170732;undefined
info.cntrlapps.prolearn;2;0;2;4;1;undefined
com.apkzube.learncprogramming;85;2;13;100;0.9770114942528736;undefined
com.sololearn.cplusplus;149;11;40;200;0.93125;undefined
com.skillshare.Skillshare;154;16;30;200;0.9058823529411765;undefined
com.W3school.Anbu;44;11;13;68;0.8;undefined
com.linkedin.android.learning;158;13;29;200;0.9239766081871345;undefined
com.junior;170;8;22;200;0.9550561797752809;undefined
com.motionapps.onlinecompiler;125;34;41;200;0.7861635220125787;undefined
com.kindergarten.MathPreScool3;162;8;30;200;0.9529411764705882;undefined
com.lego.education.ev3;48;4;16;68;0.9230769230769231;undefined
com.nxg.learningvb;95;26;35;156;0.7851239669421488;undefined
com.frontline.frontlinemobile;73;52;53;178;0.584;undefined
robotic.industrial;75;7;20;102;0.9146341463414634;undefined
com.djm.offlinepythonnotes;160;5;35;200;0.9696969696969697;undefined
itools.cprograms;144;12;44;200;0.9230769230769231;undefined
com.jitendra000557.Final_AMC;2;0;0;2;1;undefined
com.sololearn.htmltrial;163;8;29;200;0.9532163742690059;undefined
com.snj.cprogramming;166;5;29;200;0.9707602339181286;undefined
com.royal.krushna.myapplication;17;0;7;24;1;undefined
com.apps.athena.programminglanguages;63;4;25;92;0.9402985074626866;undefined
com.easy.hp.ctutorial;179;2;19;200;0.988950276243094;undefined
cpp.programming;143;15;42;200;0.9050632911392406;undefined
com.rsd.cprogramming;76;6;25;107;0.926829268292683;undefined
com.programiz.learnpython;135;6;19;160;0.9574468085106383;undefined
sql.code.play;173;9;18;200;0.9505494505494505;undefined
com.sololearn.csharp;155;12;33;200;0.9281437125748503;undefined
com.coding.dmr.cp;17;1;4;22;0.9444444444444444;undefined
com.marcyliao.app.algnote;119;6;20;145;0.952;undefined
com.rohiapps.android.ctutorial;11;0;1;12;1;undefined
io.getready.ready;88;62;50;200;0.5866666666666667;undefined
com.kano.app;19;14;13;46;0.5757575757575758;undefined
com.programminginbangla;61;8;23;92;0.8840579710144928;undefined
com.codepoint.learnpython3;38;3;7;48;0.926829268292683;undefined
com.sololearn.java;149;15;36;200;0.9085365853658537;undefined
in.learncodeonline.cpplangquestion;1;0;0;1;1;undefined
com.area120.grasshopper;156;15;29;200;0.9122807017543859;undefined
