bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo
ab.codelyf;94;8;11;113;0.92
com.ionicframework.cursosdegraca;65;3;15;83;0.96
com.sololearn.csstrial;164;8;28;200;0.95
com.codenza.dp.programs;147;18;35;200;0.89
in.edu.pd;151;13;36;200;0.92
info.cntrlapps.prolearn;2;0;2;4;1.00
com.apkzube.learncprogramming;85;2;13;100;0.98
com.sololearn.cplusplus;149;11;40;200;0.93
com.skillshare.Skillshare;154;16;30;200;0.91
com.W3school.Anbu;44;11;13;68;0.80
com.linkedin.android.learning;158;13;29;200;0.92
com.junior;170;8;22;200;0.96
com.motionapps.onlinecompiler;125;34;41;200;0.79
com.kindergarten.MathPreScool3;162;8;30;200;0.95
com.lego.education.ev3;48;4;16;68;0.92
com.nxg.learningvb;95;26;35;156;0.79
com.frontline.frontlinemobile;73;52;53;178;0.58
robotic.industrial;75;7;20;102;0.91
com.djm.offlinepythonnotes;160;5;35;200;0.97
itools.cprograms;144;12;44;200;0.92
com.jitendra000557.Final_AMC;2;0;0;2;1.00
com.sololearn.htmltrial;163;8;29;200;0.95
com.snj.cprogramming;166;5;29;200;0.97
com.royal.krushna.myapplication;17;0;7;24;1.00
com.apps.athena.programminglanguages;63;4;25;92;0.94
com.easy.hp.ctutorial;179;2;19;200;0.99
cpp.programming;143;15;42;200;0.91
com.rsd.cprogramming;76;6;25;107;0.93
com.programiz.learnpython;135;6;19;160;0.96
sql.code.play;173;9;18;200;0.95
com.sololearn.csharp;155;12;33;200;0.93
com.coding.dmr.cp;17;1;4;22;0.94
com.marcyliao.app.algnote;119;6;20;145;0.95
com.rohiapps.android.ctutorial;11;0;1;12;1.00
io.getready.ready;88;62;50;200;0.59
com.kano.app;19;14;13;46;0.58
com.programminginbangla;61;8;23;92;0.88
com.codepoint.learnpython3;38;3;7;48;0.93
com.sololearn.java;149;15;36;200;0.91
in.learncodeonline.cpplangquestion;1;0;0;1;1.00
com.area120.grasshopper;156;15;29;200;0.91
com.jcharistechn.learnjuliaprogramming;4;0;1;5;1.00
com.jaindev.python;10;1;4;15;0.91
miwok.android.example.com.learnc;55;2;7;64;0.96
net.androidsquad.androidmaster;149;14;37;200;0.91
com.awwalsoft.javabasicslearning;152;3;32;187;0.98
com.getmimo;153;18;29;200;0.89
com.upskew.encode;176;7;17;200;0.96
com.buta.caculator;166;2;32;200;0.99
org.edx.mobile;172;6;22;200;0.97
com.babbel.mobile.android.es;169;3;28;200;0.98
com.sitseducators.cpppatternprogramsfree;164;5;31;200;0.97
com.nits.foundationworldsrinagar.app;22;4;13;39;0.85
ru.iiec.cxxdroid;146;16;38;200;0.90
br.com.passeidireto;60;11;129;200;0.85
com.zenva.codemurai;161;11;28;200;0.94
com.spdroid.c;162;8;30;200;0.95
com.mres.schedule;172;5;23;200;0.97
engg.hub.object.oriented.programming;6;2;2;10;0.75
air.com.rosettastone.mobile.CoursePlayer;158;13;29;200;0.92
com.improvecodingskills.learnandroidprogramming;98;5;10;113;0.95
coolfreeapps.appslaborator.learn.c.programming;0;1;0;1;0.00
org.scratchjr.android;124;31;45;200;0.80
com.sololearn.python;149;19;32;200;0.89
com.coderbro.tutorial.arduinoadvanced;3;1;2;6;0.75
com.gazzappergames.simpleturtle.logo.educational;17;14;12;43;0.55
net.joeyt.learnable;7;2;3;12;0.78
com.coderbro.tutorial.a8051microcontroller;4;0;2;6;1.00
com.cprogrammingzone.free;166;10;24;200;0.94
com.learn.tech.datascience;26;9;16;51;0.74
com.ombiel.campusm.contracosta;5;4;7;16;0.56
daldev.android.gradehelper;159;14;27;200;0.92
edu.mit.appinventor.aicompanion3;88;32;80;200;0.73
com.duy.c.cpp.compiler;144;20;36;200;0.88
com.japangor.learntocode;124;14;46;184;0.90
com.C_Examples.C_Programming;9;0;4;13;1.00
com.paprbit.dcoder;158;13;29;200;0.92
com.google.android.apps.classroom;122;24;54;200;0.84
com.nenedevs.cursodeinformatica;0;0;1;1;NaN
com.java.malik.javaanim;102;0;5;107;1.00
com.wyzant.studentapp;180;11;9;200;0.94
com.delphiapplications.delphiexamples;10;0;3;13;1.00
com.sukronmoh.bwi.belajarhtml;67;2;122;191;0.97
oop.cite.pc_admin.trial_3navbar;3;4;0;7;0.43
com.kids.coding.connectdots;1;5;1;7;0.17
com.faadooengineers.free_cprogramming;37;5;15;57;0.88
org.khankids.android;167;8;25;200;0.95
learn.apps.javaprogramming;31;4;11;46;0.89
com.ashatechsolutions.cprogramming;2;1;0;3;0.67
sambhaji.android.java;146;20;34;200;0.88
com.adriada.impararec;4;0;2;6;1.00
com.codepoint.learnreactjs;114;5;33;152;0.96
cc.nextlabs.go_1_10;6;1;1;8;0.86
com.duolingo;155;12;33;200;0.93
pl.maciejsadyapps.morsetrainer;20;4;7;31;0.83
learn.web.php;161;15;24;200;0.91
com.mrduy.calc.ti36;171;5;24;200;0.97
