bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo;numero de estrelas do app
wscubetech.android;0;0;8;8;0.00;4.0
com.wITandProgrammingandComputerScienceFreeBooks_7782437;36;0;8;44;1.00;4.2
com.aniketo.ds;44;0;8;52;1.00;4.8
com.additioapp.additio;220;80;100;400;0.73;4.2
infiniteloopsinc.info.completejava;320;12;68;400;0.96;4.6
com.infoland.oops;8;4;4;16;0.67;3.7
in.softecks.javascript;28;0;4;32;1.00;4.4
com.qtechbd.tutorial.python;44;8;12;64;0.85;4.4
in.softecks.python;32;8;0;40;0.80;4.0
com.zero.dsa;60;0;16;76;1.00;4.3
com.tutorials.learn.androidexample;316;16;68;400;0.95;4.5
com.learnprogramming.codecamp;352;0;48;400;1.00;4.9
br.com.fs.ensinabyfs;12;0;44;56;1.00;3.8
io.kodular.rijukeyshonsrijan.dp;16;0;0;16;1.00;4.3
com.codebuff;40;0;0;40;1.00;4.8
net.andromo.dev653868.app655379;32;0;4;36;1.00;4.6
com.java.user.javaprogramming;168;4;4;176;0.98;4.6
org.edx.mobile;328;8;64;400;0.98;4.7
com.moyashi_koubou.androidsensor4scratch;4;0;4;8;1.00;3.4
pk.mitz.calculatorsworld.computerscience;8;0;8;16;1.00;3.5
com.cf.codigofacilitoapp;16;28;64;108;0.36;3.5
com.sololearn.csharp;272;32;96;400;0.89;4.5
ru.code_samples.obraztsov_develop.codesamples_csharp;76;8;24;108;0.90;4.3
com.apps21.cursodecomputacion;252;16;132;400;0.94;4.3
cc.taimoor.rubycourse;48;0;4;52;1.00;5.0
com.programmarc.java;128;0;16;144;1.00;4.6
com.milcanx.learnandroidapp;248;12;72;332;0.95;4.3
com.back_banchers.cplusplus;36;0;12;48;1.00;3.6
com.ryzac.codecademygo;160;84;156;400;0.66;3.3
afsar.com.codeacademy;36;0;0;36;1.00;4.0
app.oopcodeskyhive;44;16;20;80;0.73;4.1
cordova.code.play;368;0;32;400;1.00;4.7
com.duhnnae.programmingprogramacion;12;4;0;16;0.75;4.4
in.softecks.fortran;4;0;0;4;1.00;4.2
miwok.android.example.com.learnc;228;12;32;272;0.95;4.6
learn.apps.pythonprogramming;76;4;28;108;0.95;4.3
cpp.programming;324;8;68;400;0.98;4.2
com.appboss.CProgrammingConcepts;16;0;4;20;1.00;4.5
name.antonsmirnov.android.cppdroid;256;80;64;400;0.76;4.1
com.continuum.learnhtml;268;20;56;344;0.93;4.3
com.nenedevs.cursodeinformatica;0;0;4;4;0.00;4.6
com.sky.learnhtml5;28;0;4;32;1.00;4.6
com.swastik.operationalresearch;108;12;36;156;0.90;4.5
com.admob9931.python_panda;36;0;4;40;1.00;4.5
lifegoal.helpinghands.machinelearning;40;0;0;40;1.00;4.8
com.appsfactory.htmlcssjsbootstrap;104;8;8;120;0.93;4.5
io.getready.ready;152;128;120;400;0.54;3.3
com.makeblock.mblock;112;20;32;164;0.85;3.7
com.reezx.android.learncprogramming;304;20;76;400;0.94;4.4
com.programiz.learnpython;332;20;48;400;0.94;4.7
com.avstore.cctutorials;56;0;16;72;1.00;4.8
com.awwalsoft.pythondeeplearning;300;16;52;368;0.95;4.1
com.yugenchokshi.wil;68;12;20;100;0.85;4.6
com.improvecodingskills.learnandroidprogramming;296;16;88;400;0.95;4.1
com.aide.trainer.java;300;44;56;400;0.87;4.4
com.reedbook.android;0;0;24;24;0.00;4.7
com.apkzube.learncprogramming;340;8;52;400;0.98;3.8
com.jaindev.assembly;16;4;0;20;0.80;4.0
ab.java.programming;188;80;132;400;0.70;3.4
com.coderbro.tutorial.arduinoprogrammingduo;64;4;28;96;0.94;4.0
info.ytc.cprograms;88;0;8;96;1.00;4.8
micro.bots.learn.html5;33;0;6;39;1.00;4.6
com.raincontinues.simplc2;60;4;16;80;0.94;4.2
com.java.malik.javaanim;380;0;20;400;1.00;4.6
com.freetymekiyan.apas;296;56;48;400;0.84;4.7
com.krazeapps.basicprogrammingcompiler;16;4;4;24;0.80;2.8
in.intelitech.lispprogramming;0;0;8;8;0.00;3.4
com.coderii.imagetotext;40;0;0;40;1.00;5.0
com.aplicativoslegais.easystudy;320;20;60;400;0.94;4.2
coolfreeapps.appslaborator.web.development.course;24;0;12;36;1.00;3.9
com.W3school.Anbu;260;60;80;400;0.81;4.2
com.zenva.codemurai;332;24;44;400;0.93;4.5
com.careerkarma.chat;340;20;40;400;0.94;4.7
com.xstudioo.basicc;20;4;16;40;0.83;4.7
com.sortedqueue.programmercreek;152;8;32;192;0.95;4.4
com.sololearn.cplusplus;284;40;76;400;0.88;4.7
com.lekastudio.learnhcj;60;4;16;80;0.94;4.4
com.spdroid.c;336;4;60;400;0.99;4.5
net.joeyt.learnable;28;8;12;48;0.78;4.2
com.cpp.user.cprograms;156;8;8;172;0.95;4.7
com.apolosoft.cuadernoprofesor;296;24;80;400;0.93;4.4
com.vijay.aiodeveloper;308;20;60;388;0.94;4.3
sgdevelopers.learn_cpp_programming;164;4;40;208;0.98;4.5
learn.reactnative.tutorial;72;0;4;76;1.00;4.3
daldev.android.gradehelper;320;16;64;400;0.95;4.5
ru.code_samples.obraztsov_develop.codesamples;32;0;8;40;1.00;4.7
com.sizzlesoftlabs.learn.expertc;188;12;20;220;0.94;4.3
mobi.abcmouse.academy_goo;244;68;88;400;0.78;4.0
com.illusorytapirus.morsecodelesson;120;28;32;180;0.81;4.0
com.udemy.android;344;32;24;400;0.91;4.6
com.code.jupiter.learnphp;312;16;72;400;0.95;4.4
com.apps.athena.programminglanguages;268;12;108;388;0.96;4.4
com.ionicframework.cursosdegraca;308;12;80;400;0.96;4.7
learn.html.programming;44;12;16;72;0.79;4.1
com.upskew.encode;372;8;20;400;0.98;4.6
com.sololearn.jquery;236;12;56;304;0.95;4.5
mobile.olimpia.com.aprendeelectronica;132;56;100;288;0.70;4.3
com.codepoint.learnpython3;152;12;28;192;0.93;4.3
com.codepoint.learnnodejs;84;8;8;100;0.91;4.3
com.wandcode.cheatsheet;24;0;8;32;1.00;4.0
com.do_apps.catalog_142;28;0;8;36;1.00;4.6
com.planetfactory.makeitAndroid;36;4;8;48;0.90;4.0
vsapps.computerprogram;36;0;12;48;1.00;4.3
com.ben.Tutorial.aiwithpython;20;0;0;20;1.00;4.4
com.hyphenible.tryc;52;0;0;52;1.00;4.6
in.learncodeonline.cpplangquestion;4;0;0;4;1.00;5.0
com.sukronmoh.bwi.belajarhtml;120;0;280;400;1.00;4.7
com.pratipalgif.LearnC;4;0;12;16;1.00;3.2
com.sololearn.sql;320;44;36;400;0.88;4.6
pl.maciejsadyapps.morsetrainer;84;16;28;128;0.84;3.9
com.codepoint.computerProgramming;44;0;8;52;1.00;4.5
com.skyapper.learnpythonwithdatascience;24;0;0;24;1.00;4.1
com.apkzube.learnrprogramming;116;8;28;152;0.94;4.4
com.apps21.reparaciondecelulares;160;20;52;232;0.89;4.2
com.quizmine.csharpandroid;36;16;8;60;0.69;3.5
com.KodlamaLab.KodlamaLab;0;0;40;40;0.00;3.7
com.cyberloft.pascalprogramming;84;4;12;100;0.95;4.4
com.snj.cprogramming;320;4;76;400;0.99;4.6
learn.apps.arduinoprogramming;92;12;40;144;0.88;4.4
com.cohortplus.clientTest;328;16;56;400;0.95;4.3
c.programming;284;28;88;400;0.91;4.1
itools.cprograms;236;56;108;400;0.81;3.4
info.cntrlapps.prolearn;8;0;12;20;1.00;3.9
all.about.computer;112;8;20;140;0.93;4.4
com.binarytuts.cprogrammingcode;8;0;8;16;1.00;4.8
com.somethingcj.user.corejava;56;0;12;68;1.00;4.7
techhunt.com.androidexamples;120;20;20;160;0.86;3.8
com.LM.PGS;184;28;52;264;0.87;4.1
com.sololearn.javascript;268;32;100;400;0.89;4.5
com.app4daily.computerrepairingcourse;24;0;0;24;1.00;4.4
com.dztall.ccr.android.admob;256;56;88;400;0.82;4.1
com.skyapper.hb.learncnet;68;4;20;92;0.94;4.3
com.java.questionwithanswerinterview.android;284;64;52;400;0.82;4.0
com.gokazu;124;0;4;128;1.00;4.8
coolfreeapps.appslaborator.html.course;140;8;24;172;0.95;4.2
labprograms.abin.programmingexercises;56;0;16;72;1.00;4.7
coolfreeapps.appslaborator.learn.c.programming;0;4;0;4;0.00;4.0
com.code.jupiter.learnjavascript;304;16;28;348;0.95;4.4
learn.web.php;316;20;64;400;0.94;4.3
com.myprg.aakash.ardunioprogramming;76;0;8;84;1.00;4.1
com.touchcoderapp.touchcoder;16;0;0;16;1.00;5.0
com.do_apps.catalog_68;136;8;64;208;0.94;4.1
io.kodular.ahmedkarundawala245.Learn_HTML;24;0;4;28;1.00;4.8
com.sitseducators.cpppatternprogramsfree;332;12;56;400;0.97;4.7
com.appsfactory.learnpython;344;0;56;400;1.00;4.6
com.paprbit.dcoder;268;32;100;400;0.89;4.4
com.analyticsvidhya.android;288;32;80;400;0.90;4.4
com.kids.coding.firefighter;8;4;0;12;0.67;3.7
com.apkzube.learnkotlin;148;16;20;184;0.90;4.4
air.com.rosettastone.mobile.CoursePlayer;320;24;56;400;0.93;4.6
com.jids.lspexample;120;0;32;152;1.00;4.5
com.mres.schedule;340;8;52;400;0.98;4.7
com.cuseju.tubestudy;344;24;32;400;0.93;4.6
oop.cite.pc_admin.trial_3navbar;12;16;0;28;0.43;4.2
com.quantumappsolutions.learnprogramming;56;0;8;64;1.00;4.4
com.skyapper.learnspring;40;0;4;44;1.00;4.7
randomappsinc.com.sqlpracticeplus;336;16;48;400;0.95;4.7
com.CoderBro.tutorials.arduinotutorials;268;40;92;400;0.87;4.0
com.rrtdevelopers.cursodereparaciondecelularesenespanol;312;20;68;400;0.94;4.4
programming.android.tutorial;300;32;68;400;0.90;4.3
com.krazeapps.cppprogrammingcompiler;20;12;16;48;0.63;2.8
training.computing.scratchkids;240;64;96;400;0.79;4.0
com.adriada.impararejava;4;0;0;4;1.00;4.4
com.C_Examples.C_Programming;44;0;16;60;1.00;4.5
com.apkzube.learnpython;324;20;56;400;0.94;4.6
ru.iiec.cxxdroid;276;32;92;400;0.90;4.3
com.sololearn.java;296;40;64;400;0.88;4.6
bishrulhaq.learntocode;72;0;0;72;1.00;4.3
com.susanapp.cursodeinformatica;28;4;4;36;0.88;4.0
wiki.algorithm.algorithms;332;20;48;400;0.94;4.6
com.getmimo;343;8;49;400;0.98;4.5
app.compiler;324;20;56;400;0.94;4.4
javatutorial.javamcq.learnjava.learnjava_startfromscratch;156;0;24;180;1.00;4.9
com.superdream.rprogramming;40;4;8;52;0.91;4.2
net.androidsquad.androidmaster;284;24;92;400;0.92;4.6
geniusfactoryapp.programmationandroid;0;0;4;4;0.00;4.4
motivationquotes.daily.com.pdfdownload;40;4;0;44;0.91;4.2
tk.app.start;0;0;4;4;0.00;4.6
com.jcharistechn.learnjuliaprogramming;20;0;4;24;1.00;4.8
com.clickapp.ik.listview;20;0;4;24;1.00;4.8
com.faadooengineers.free_cprogramming;144;20;72;236;0.88;3.9
com.nsk.cprogramming;288;24;88;400;0.92;4.2
itools.aiwithpython;56;4;20;80;0.93;4.4
com.sololearn.htmltrial;296;28;76;400;0.91;4.7
com.codeintelligent.onlinecompiler;76;12;16;104;0.86;4.2
com.spyboy.cprogramming;108;4;36;148;0.96;4.4
com.app1daily.a1db304;4;4;4;12;0.50;3.6
cplusplus.programming;8;0;0;8;1.00;4.0
com.codengoclient;24;4;4;32;0.86;4.6
com.CodeHub.competitivecoding;76;4;12;92;0.95;4.4
com.noelvillaman.softwares.javasolo;4;0;0;4;1.00;4.1
com.do_apps.catalog_485;8;0;8;16;1.00;3.7
com.codetoinvent.malik.cprogramming;76;0;12;88;1.00;4.6
com.learning.examples.arduino;0;0;4;4;0.00;3.6
learn.apps.androidprogramming;32;12;12;56;0.73;4.1
com.codepoint.learnnetworking;28;0;4;32;1.00;4.8
com.codenza.dp.programs;308;20;72;400;0.94;4.6
com.redlee90.learn6502assembly;164;40;28;232;0.80;4.5
com.awwalsoft.javabasicslearning;332;12;56;400;0.97;4.4
com.mrsoftbd.webdesignlearnoffline;312;16;72;400;0.95;4.2
com.practice_o_learn.javaprogramming;164;0;12;176;1.00;4.5
com.sololearn.python;256;68;76;400;0.79;4.6
br.com.acaicomcodigo.informaticanobolso;4;0;0;4;1.00;4.7
coding.riya_rayan.ccoding;184;8;20;212;0.96;4.6
com.codepoint.learnjavascript;88;4;20;112;0.96;4.3
in.intelitech.computerprogramming;8;0;4;12;1.00;4.3
com.codetoinvent.malik.cplusplus;148;8;12;168;0.95;4.6
learn.apps.unixprogramming;104;20;32;156;0.84;4.3
com.codebrink.codebrink;24;0;0;24;1.00;4.9
com.programmingzemi;4;0;8;12;1.00;3.9
trycodehub.com;280;36;84;400;0.89;4.4
com.rpms.rohitpatil.learnjava;360;8;32;400;0.98;4.6
com.successcrazzy.datascience101;268;52;80;400;0.84;4.2
com.frizzl.app.frizzleapp;8;0;4;12;1.00;4.6
com.samsung.android.codemaker;28;8;16;52;0.78;3.9
com.programminginbangla;260;36;104;400;0.88;4.3
ltos.learn.cand.java;64;8;12;84;0.89;4.0
com.skycodetech.codingquiz;192;16;28;236;0.92;4.5
com.antlem.coderhub;60;0;4;64;1.00;4.6
in.softecks.ruby;8;8;4;20;0.50;4.5
com.back_banchers.html;292;20;88;400;0.94;3.7
info.younglinux.pythonexercises;76;0;8;84;1.00;4.1
com.buta.caculator;332;8;60;400;0.98;4.6
com.myapps.rishabhrawat.codingebooks;32;4;0;36;0.89;3.9
com.codepoint.learnphp7;44;0;0;44;1.00;4.3
com.HTML.AngularJS.Codeplay;324;24;52;400;0.93;4.5
com.skyapper.learnphp;28;0;4;32;1.00;4.8
com.tech.prabhansh.programminginc;112;0;12;124;1.00;4.7
sambhaji.asp.vb;240;64;96;400;0.79;4.0
com.codepoint.learnreactjs;272;12;116;400;0.96;3.9
com.codepoint.learnjava;24;0;0;24;1.00;4.1
org.scratchjr.android;248;60;92;400;0.81;3.8
com.zdivdev.ebook.lua;56;0;28;84;1.00;4.2
com.do_apps.catalog_478;8;0;0;8;1.00;4.0
com.codingpreperation.csinterviewpreperation.programming;208;8;12;228;0.96;4.5
com.cprogrammingzone.free;316;20;64;400;0.94;4.6
com.myapp.designpatternscs;248;24;44;316;0.91;4.8
com.easy.home.javatutorial;292;12;28;332;0.96;4.2
c.spotapps.com.learnc;24;0;0;24;1.00;4.9
in.intelitech.cobol;8;0;0;8;1.00;4.9
project.com.clanguage;44;0;4;48;1.00;4.3
mc.javatutor.offline;8;0;8;16;1.00;4.4
com.chavan.oops;212;12;40;264;0.95;4.6
com.educationapps.cncprogrammingexamples;220;0;32;252;1.00;4.4
pe.diegoveloper.pseudocode;132;20;60;212;0.87;4.4
in.softecks.cplusplus;0;0;4;4;0.00;4.2
com.code.jupiter.nodejs;68;4;0;72;0.94;4.5
com.sitseducators.cpatternprogramsfree;316;4;80;400;0.99;4.7
com.nj.pubgw.codingfun;16;8;4;28;0.67;3.0
com.java.bluestartech.javahelpingbook;192;4;24;220;0.98;4.1
com.becomecoder.mainpdf;68;0;0;68;1.00;4.6
