Bundle Id;PolaridadeAplicativo;numeroEstrelas;grupos
wscubetech.android;0.00;4.0;3
com.wITandProgrammingandComputerScienceFreeBooks_7782437;1.00;4.2;3
com.aniketo.ds;1.00;4.8;3
com.additioapp.additio;0.73;4.2;3
infiniteloopsinc.info.completejava;0.96;4.6;3
com.infoland.oops;0.67;3.7;3
in.softecks.javascript;1.00;4.4;3
com.qtechbd.tutorial.python;0.85;4.4;3
in.softecks.python;0.80;4.0;3
com.zero.dsa;1.00;4.3;3
com.tutorials.learn.androidexample;0.95;4.5;3
com.learnprogramming.codecamp;1.00;4.9;3
br.com.fs.ensinabyfs;1.00;3.8;3
io.kodular.rijukeyshonsrijan.dp;1.00;4.3;3
com.codebuff;1.00;4.8;3
net.andromo.dev653868.app655379;1.00;4.6;3
com.java.user.javaprogramming;0.98;4.6;3
org.edx.mobile;0.98;4.7;4
com.moyashi_koubou.androidsensor4scratch;1.00;3.4;3
pk.mitz.calculatorsworld.computerscience;1.00;3.5;3
com.cf.codigofacilitoapp;0.36;3.5;3
com.sololearn.csharp;0.89;4.5;1
ru.code_samples.obraztsov_develop.codesamples_csharp;0.90;4.3;3
com.apps21.cursodecomputacion;0.94;4.3;1
cc.taimoor.rubycourse;1.00;5.0;3
com.programmarc.java;1.00;4.6;3
com.milcanx.learnandroidapp;0.95;4.3;3
com.back_banchers.cplusplus;1.00;3.6;3
com.ryzac.codecademygo;0.66;3.3;3
afsar.com.codeacademy;1.00;4.0;3
app.oopcodeskyhive;0.73;4.1;3
cordova.code.play;1.00;4.7;3
com.duhnnae.programmingprogramacion;0.75;4.4;3
in.softecks.fortran;1.00;4.2;3
miwok.android.example.com.learnc;0.95;4.6;3
learn.apps.pythonprogramming;0.95;4.3;3
cpp.programming;0.98;4.2;1
com.appboss.CProgrammingConcepts;1.00;4.5;3
name.antonsmirnov.android.cppdroid;0.76;4.1;1
com.continuum.learnhtml;0.93;4.3;3
com.nenedevs.cursodeinformatica;0.00;4.6;3
com.sky.learnhtml5;1.00;4.6;3
com.swastik.operationalresearch;0.90;4.5;3
com.admob9931.python_panda;1.00;4.5;3
lifegoal.helpinghands.machinelearning;1.00;4.8;3
com.appsfactory.htmlcssjsbootstrap;0.93;4.5;3
io.getready.ready;0.54;3.3;1
com.makeblock.mblock;0.85;3.7;3
com.reezx.android.learncprogramming;0.94;4.4;3
com.programiz.learnpython;0.94;4.7;3
com.avstore.cctutorials;1.00;4.8;3
com.awwalsoft.pythondeeplearning;0.95;4.1;3
com.yugenchokshi.wil;0.85;4.6;3
com.improvecodingskills.learnandroidprogramming;0.95;4.1;3
com.aide.trainer.java;0.87;4.4;3
com.reedbook.android;0.00;4.7;3
com.apkzube.learncprogramming;0.98;3.8;3
com.jaindev.assembly;0.80;4.0;3
ab.java.programming;0.70;3.4;1
com.coderbro.tutorial.arduinoprogrammingduo;0.94;4.0;3
info.ytc.cprograms;1.00;4.8;3
micro.bots.learn.html5;1.00;4.6;3
com.raincontinues.simplc2;0.94;4.2;3
com.java.malik.javaanim;1.00;4.6;3
com.freetymekiyan.apas;0.84;4.7;3
com.krazeapps.basicprogrammingcompiler;0.80;2.8;3
in.intelitech.lispprogramming;0.00;3.4;3
com.coderii.imagetotext;1.00;5.0;3
com.aplicativoslegais.easystudy;0.94;4.2;3
coolfreeapps.appslaborator.web.development.course;1.00;3.9;3
com.W3school.Anbu;0.81;4.2;3
com.zenva.codemurai;0.93;4.5;3
com.careerkarma.chat;0.94;4.7;3
com.xstudioo.basicc;0.83;4.7;3
com.sortedqueue.programmercreek;0.95;4.4;3
com.sololearn.cplusplus;0.88;4.7;4
com.lekastudio.learnhcj;0.94;4.4;3
com.spdroid.c;0.99;4.5;3
net.joeyt.learnable;0.78;4.2;3
com.cpp.user.cprograms;0.95;4.7;3
com.apolosoft.cuadernoprofesor;0.93;4.4;3
com.vijay.aiodeveloper;0.94;4.3;3
sgdevelopers.learn_cpp_programming;0.98;4.5;3
learn.reactnative.tutorial;1.00;4.3;3
daldev.android.gradehelper;0.95;4.5;4
ru.code_samples.obraztsov_develop.codesamples;1.00;4.7;3
com.sizzlesoftlabs.learn.expertc;0.94;4.3;3
mobi.abcmouse.academy_goo;0.78;4.0;2
com.illusorytapirus.morsecodelesson;0.81;4.0;3
